CustomerID,Name,Age,Gender,Region,Tenure,Churn
C0001,Sahil Butala,28,Male,West,3,Yes
C0002,Ranbir Vora,27,Male,East,2,Yes
C0003,Siya Maharaj,34,Male,South,4,Yes
C0004,Navya Raval,55,Female,South,15,No
C0005,Adah Tiwari,31,Female,South,13,Yes
C0006,Divit Sekhon,42,Male,North,14,Yes
C0007,Anahi Viswanathan,43,Female,West,49,No
C0008,Hunar Deshpande,28,Female,North,11,Yes
C0009,Aradhya Rastogi,44,Male,West,4,Yes
C0010,Pranay Borra,39,Male,West,39,No
C0011,Ahana  Bhavsar,38,Female,East,38,No
C0012,Onkar Bala,43,Male,East,58,No
C0013,Vritika Kaur,25,Male,East,8,Yes
C0014,Romil Dugal,45,Female,Central,50,No
C0015,Inaaya  Saini,35,Female,West,29,No
C0016,Vritika Banerjee,23,Female,South,10,Yes
C0017,Divit Venkataraman,41,Male,East,56,No
C0018,Krish Shroff,50,Male,South,9,Yes
C0019,Dishani Gour,55,Female,West,52,No
C0020,Shlok Shan,46,Female,South,47,No
C0021,Navya Kalla,52,Male,West,24,No
C0022,Drishya Rau,31,Female,East,53,No
C0023,Keya Kapoor,50,Female,Central,15,No
C0024,Navya Choudhry,28,Female,West,33,No
C0025,Hiran Gara,48,Male,South,31,No
C0026,Akarsh Datta,53,Male,South,11,Yes
C0027,Farhan Desai,40,Male,North,49,No
C0028,Devansh Kade,54,Male,East,22,No
C0029,Saksham Soman,44,Female,South,10,Yes
C0030,Vritika Sahota,26,Male,West,49,No
C0031,Lakshit Date,29,Male,East,25,No
C0032,Nirvi Guha,37,Female,Central,59,No
C0033,Hrishita Sule,33,Female,South,38,No
C0034,Divij Choudhry,49,Female,North,6,Yes
C0035,Rati Jaggi,22,Male,East,12,Yes
C0036,Charvi Sehgal,24,Male,North,6,Yes
C0037,Saanvi Sarraf,25,Male,South,49,No
C0038,Shaan Raja,29,Female,South,41,No
C0039,Misha Buch,33,Male,North,42,No
C0040,Nishith Sood,47,Female,West,11,Yes
C0041,Abram Bahri,27,Male,South,21,No
C0042,Lakshit Lad,36,Male,South,42,No
C0043,Heer Jayaraman,32,Female,South,19,No
C0044,Emir Yadav,49,Male,North,15,No
C0045,Kismat Deshpande,26,Male,North,28,No
C0046,Ishita Madan,46,Male,North,7,Yes
C0047,Indrajit Rau,37,Female,South,50,No
C0048,Indrans Kapoor,52,Male,South,1,Yes
C0049,Sana Andra,55,Male,West,10,Yes
C0050,Nitya Bahl,51,Male,North,26,No
C0051,Samar Brar,25,Male,East,2,Yes
C0052,Miraya Upadhyay,36,Male,East,52,No
C0053,Yasmin Mammen,54,Female,Central,12,Yes
C0054,Suhana Ramaswamy,41,Male,South,11,Yes
C0055,Devansh Shroff,40,Female,South,19,No
C0056,Shlok Gupta,21,Female,East,21,No
C0057,Kanav Kunda,25,Male,South,6,Yes
C0058,Bhamini Sastry,25,Male,South,14,Yes
C0059,Rasha Thaman,55,Female,East,56,No
C0060,Armaan Sharma,54,Male,East,57,No
C0061,Anika Srivastava,27,Male,South,50,No
C0062,Indrajit Kuruvilla,30,Female,South,6,Yes
C0063,Jivin Behl,34,Female,South,14,Yes
C0064,Ela Swaminathan,24,Male,East,17,No
C0065,Stuvan Vora,21,Female,West,31,No
C0066,Vihaan Rege,31,Female,East,15,No
C0067,Farhan Jaggi,28,Male,Central,24,No
C0068,Piya Chacko,55,Male,West,24,No
C0069,Ishita Virk,48,Male,North,17,No
C0070,Kashvi Gola,43,Male,East,37,No
C0071,Tejas Buch,47,Male,Central,3,Yes
C0072,Tushar Baria,32,Female,North,36,No
C0073,Aaryahi Shere,47,Male,South,21,No
C0074,Pranay Borra,45,Male,West,14,Yes
C0075,Gokul Hora,50,Female,South,29,No
C0076,Hunar Kota,35,Male,East,32,No
C0077,Nishith Kuruvilla,25,Female,South,58,No
C0078,Krish Kuruvilla,55,Female,Central,5,Yes
C0079,Yakshit Sane,32,Female,North,37,No
C0080,Badal Edwin,41,Female,East,39,No
C0081,Keya Kapoor,33,Female,North,48,No
C0082,Samarth Kaul,55,Male,South,11,Yes
C0083,Anvi Rege,42,Female,East,5,Yes
C0084,Zara Gera,53,Female,East,59,No
